 Temperature versus pressure for Jupiter, as measured by the Galileo Probe.
 Data from Seiff et al, 1998, ``Thermal structure of Jupiter's atmosphere near the edge
 of a 5-um hot spot in the north equatorial belt,'' JGR 103, No. E10, 22,857-22,889.
 .
 .
#      p[hPa]    T[K]    dT[K]
96
      9.633e-07  899.9     0.
      1.018e-06  903.4     0.
      1.148e-06  897.0     0.
      1.297e-06  883.9     0.
      1.468e-06  872.2     0.
      1.664e-06  866.0     0.
      1.888e-06  865.4     0.
      2.141e-06  869.1     0.
      2.427e-06  875.2     0.
      2.749e-06  881.4     0.
      3.112e-06  885.2     0.
      3.522e-06  884.4     0.
      3.990e-06  877.2     0.
      4.527e-06  862.2     0.
      5.152e-06  840.0     0.
      5.887e-06  812.0     0.
      6.765e-06  776.1     0.
      7.827e-06  741.0     0.
      9.117e-06  712.8     0.
      1.068e-05  692.7     0.
      1.256e-05  680.2     0.
      1.481e-05  674.6     0.
      1.749e-05  669.8     0.
      2.067e-05  670.3     0.
      2.445e-05  664.0     0.
      2.903e-05  642.4     0.
      3.484e-05  594.3     0.
      4.256e-05  545.9     0.
      5.265e-05  535.8     0.
      6.518e-05  535.7     0.
      8.149e-05  483.1     0.
      0.0001072  392.9     0.
      0.0001463  370.2     0.
      0.0002107  289.2     0.
      0.0003367  231.7     0.
      0.0006036  198.6     0.
      0.001152   194.2     0.
      0.002177   177.6     0.
      0.004800   152.8     0.
      0.01094    151.0     0.
      0.02475    155.7     0.
      0.05593    157.2     0.
      0.1257     158.2     0.
      0.2824     157.4     0.
      0.6192     168.6     0.
      1.342      160.5     0.
      3.079      149.8     0.
      7.177      158.1     0.
     16.40       143.8     0.
     43.74       122.6     0.
    135.8        113.2     0.
    351.5        122.9     0.
    468.         130.00     0.
    500.         132.79     0.
    600.         140.84     0.
    700.         148.04     0.
    800.         154.57     0.
    900.         160.56     0.
   1000.         166.10     0.
   1200.         176.11     0.
   1400.         184.99     0.
   1600.         193.00     0.
   1800.         200.31     0.
   2000.         207.06     0.
   2200.         213.32     0.
   2400.         219.19     0.
   2600.         224.71     0.
   2800.         229.92     0.
   3000.         234.87     0.
   3200.         239.59     0.
   3400.         244.09     0.
   3600.         248.40     0.
   3800.         252.55     0.
   4000.         256.53     0.
   4200.         260.38     0.
   4400.         264.09     0.
   4600.         267.68     0.
   4800.         271.16     0.
   5000.         274.54     0.
   6000.         290.10     0.
   7000.         303.88     0.
   8000.         316.31     0.
   9000.         327.67     0.
  10000.         338.16     0.
  11000.         347.92     0.
  12000.         357.08     0.
  13000.         365.71     0.
  14000.         373.87     0.
  15000.         381.64     0.
  16000.         389.04     0.
  17000.         396.13     0.
  18000.         402.93     0.
  19000.         409.46     0.
  20000.         415.75     0.
  21000.         421.83     0.
  22000.         427.71     0.
