IDX	HGT	PRE	TEM	SiO
1	0.4793	9.882340930	2147.3	1000000.0
2	1.4374	9.651159599	2145.0	1000000.0
3	2.3943	9.425386380	2141.7	1000000.0
4	3.3506	9.204894760	2142.9	1000000.0
5	4.3068	8.989561183	2140.8	1000000.0
6	5.2628	8.779264985	2142.0	1000000.0
7	6.2168	8.573888326	2132.1	1000000.0
8	7.1704	8.373316121	2139.9	1000000.0
9	8.1230	8.177435977	2127.6	1000000.0
10	9.0741	7.986138131	2133.5	1000000.0
11	10.0251	7.799315387	2127.0	1000000.0
12	10.9756	7.616863059	2131.0	1000000.0
13	11.9251	7.438678907	2122.8	1000000.0
14	12.8740	7.264663084	2128.6	1000000.0
15	13.8229	7.094718079	2122.4	1000000.0
16	14.7704	6.928748661	2122.2	1000000.0
17	15.7173	6.766661829	2120.2	1000000.0
18	16.6636	6.608366755	2119.2	1000000.0
19	17.6087	6.453774738	2114.8	1000000.0
20	18.5528	6.302799149	2114.9	1000000.0
21	19.4954	6.155355390	2107.6	1000000.0
22	20.4378	6.011360839	2114.6	1000000.0
23	21.3794	5.870734806	2103.8	1000000.0
24	22.3192	5.733398491	2106.5	1000000.0
25	23.2583	5.599274936	2100.4	1000000.0
26	24.1958	5.468288984	2100.0	1000000.0
27	25.1321	5.340367237	2094.5	1000000.0
28	26.0669	5.215438010	2093.3	1000000.0
29	27.0010	5.093431301	2091.2	1000000.0
30	27.9331	4.974278740	2084.6	1000000.0
31	28.8636	4.857913560	2084.0	1000000.0
32	29.7923	4.744270555	2076.5	1000000.0
33	30.7189	4.633286043	2074.5	1000000.0
34	31.6439	4.524897834	2069.7	1000000.0
35	32.5670	4.419045192	2065.7	1000000.0
36	33.4884	4.315668800	2062.1	1000000.0
37	34.4083	4.214710731	2059.0	1000000.0
38	35.3266	4.116114412	2055.0	1000000.0
39	36.2415	4.019824594	2044.0	1000000.0
40	37.1541	3.925787320	2044.5	1000000.0
41	38.0651	3.833949896	2036.6	1000000.0
42	38.9736	3.744260859	2033.4	1000000.0
43	39.8803	3.656669952	2028.7	1000000.0
44	40.7841	3.571128091	2020.6	1000000.0
45	41.6859	3.487587344	2019.5	1000000.0
46	42.5860	3.406000897	2012.8	1000000.0
47	43.4827	3.326323033	2004.6	1000000.0
48	44.3772	3.248509103	2002.8	1000000.0
49	45.2682	3.172515503	1989.0	1000000.0
50	46.1562	3.098299651	1989.0	1000000.0
51	47.0403	3.025819958	1972.0	1000000.0
52	47.9226	2.955035810	1980.9	1000000.0
53	48.8009	2.885907542	1953.8	1000000.0
54	49.6745	2.818396418	1959.8	1000000.0
55	50.5444	2.752464606	1937.7	1000000.0
56	51.4107	2.688075163	1943.3	1000000.0
57	52.2756	2.625192006	1931.3	1000000.0
58	53.1364	2.563779899	1924.9	1000000.0
59	53.9919	2.503804428	1907.8	1000000.0
60	54.8411	2.445231986	1896.4	1000000.0
61	55.6879	2.388029752	1897.2	1000000.0
62	56.5299	2.332165670	1874.9	1000000.0
63	57.3662	2.277608439	1871.9	1000000.0
64	58.1971	2.224327485	1850.7	1000000.0
65	59.0233	2.172292953	1850.4	1000000.0
66	59.8453	2.121475684	1832.3	1000000.0
67	60.6627	2.071847203	1829.7	1000000.0
68	61.4756	2.023379699	1812.0	1000000.0
69	62.2791	1.976046014	1787.7	1000000.0
70	63.0805	1.929819624	1802.3	1000000.0
71	63.8754	1.884674625	1759.1	1000000.0
72	64.6611	1.840585720	1760.6	1000000.0
73	65.4419	1.797528204	1737.3	1000000.0
74	66.2142	1.755477948	1722.9	1000000.0
75	66.9785	1.714411390	1701.0	1000000.0
76	67.7369	1.674305517	1696.8	1000000.0
77	68.4864	1.635137857	1660.6	1000000.0
78	69.2213	1.596886460	1632.0	1000000.0
79	69.9472	1.559529892	1619.8	1000000.0
80	70.6546	1.523047221	1549.2	1000000.0
